Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
"Road Upgradation (Arawali-Kante) Project #
*",Transport,Roads and bridges,Maharashtra,Pre-construction Stage,Hybrid Annuity Mode (HAM),The project envisages four-laning of Arawali-Kante section from 241.30 km to 281.30 km on NH-66 (erstwhile-17) under NHDP Phase-IV on Hybrid Annuity Mode (HAM),40.0 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),MEP Infrastructure Developers-Sanjose India Infrastructure & Construction (JV),Lowest Assessed Bid Price,31-Mar-2016,20-Jan-2017,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,30-Mar-2031,Not Applicable,Not Available,,0.00,594.33,Not Available,Not Applicable,Land acquisition was underway for the project. Updated status for the project is not available.
Road Upgradation (Bar-Bilara-Jodhpur) Project #,Transport,Roads and bridges,Rajasthan,Completed,Build-Operate-Transfer (BOT),Construction of four lane road on Bar-Bilara-Jodhpur road SH-5 [SH-5 (Km 90/0 to 105/0)],15.0 KM (Kilometer),State,65,09-Nov-2019,"Public Works Department, Rajasthan",Chetak Enterprises Limited,Concession Duration,14-Mar-2002,Not Available,15-Mar-2002,Not Available,24-Jul-2002,Not Available,24-Jul-2002,13-Aug-2007,23-May-2011,Not Available,,0.00,8.93,Not Available,8.93,"Concession Period resettled by E.C. by merging Dantiwar-Pipar City, Merta City Road as on March 31, 2017"
Road Upgradation (Chutmalpur-Ganeshpur) Project,Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Hybrid Annuity Mode (HAM),The project envisages four laning of Chutmalpur-Ganeshpur section of NH-72A from 0.00 km to 16.00 km & Roorkee-Chutmalpur-Gagalheri section of NH-73 from 0.00 km to 33.00 km in Saharanpur and Basti districts  under NHDP-IV on Hybrid Annuity Mode (HAM),53.0 KM (Kilometer),Centre,Not Available,09-Nov-2019,National Highways Authority of India (NHAI),MBL Infrastructures Limited,Lowest Assessed Bid Price,04-Apr-2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,"1,390.00","1,443.00",Not Available,This is a PPPAC Recommended Project.
Road Upgradation (Dausa-Lalsot-Kauthun) Project,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Hybrid Annuity Mode (HAM),The project involves four/two laning with paved shoulders of Dausa-Lalsot-Kauthun section on NH-11A extension under NHDP-IV on Hybrid Annuity Mode (HAM),83.5 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),PNC Infratech Limited,Lowest Assessed Bid Price,30-Jul-2016,03-Apr-2017,31-May-2017,31-Jan-2019,Not Available,31-Jan-2019,Not Available,30-May-2032,Not Applicable,Not Available,,0.00,615.00,688.70,Not Available,"Source :- Project Director, NHAI"
Road Upgradation (Gagalheri-Saharanpur-Yamunanagar) Project,Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Hybrid Annuity Mode (HAM),The project envisages four laning of Gagalheri-Saharanpur-Yamunanagar (UP/Haryana Border) section of NH-73 from 33.00 km to 71.64 km under NHDP-IV on Hybrid Annuity Mode (HAM),51.0 KM (Kilometer),Centre,204,09-Nov-2019,National Highways Authority of India (NHAI),MBL (GSY) Road Limited,Lowest Assessed Bid Price,27-May-2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,26-May-2033,Not Applicable,Not Available,,0.00,"1,009.00","1,668.00",Not Available,Not Available
Road Upgradation (Greater Noida-Ballia) Project*,Transport,Roads and bridges,Uttar Pradesh,Under Construction,Design-Build-Finance-Operate (DBFO),The project involves construction of 08 Lane Access Controlled Expressway from Greater Noida to Ballia & Link Expressways,1047.0 KM (Kilometer),State,420,09-Nov-2019,Uttar Pradesh Expressways Industrial Development Authority,Jaypee Ganga Infrastructure Corporation Limited,Not Available,23-Mar-2008,16-Dec-2008,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,23-Mar-2043,Not Applicable,Not Available,,0.00,"29,825.00",Not Available,Not Applicable,Updated status for the project is not available.
Road Upgradation (Gwalior-Jhansi NH-75) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),Two-lane to four-lane of Gwalior-Jhansi section from Km 16.0 to Km 96.127 of NH-75 in Gwalior district of Madhya Pradesh and Jhansi district of Uttar Pradesh under NHDP-II.,80.0 KM (Kilometer),Centre,240,09-Nov-2019,National Highways Authority of India (NHAI),DSC - Apollo consortium-Indian - UK JV Grantmij Carlbro - EMA (JV)-Denmark - Indian,Annuity,07-Dec-2006,Not Available,05-Jun-2007,05-Dec-2009,Not Available,05-Dec-2009,Not Available,06-Dec-2026,Not Applicable,Not Available,,0.00,605.00,604.00,Not Available,Not Available
Road Upgradation (Hoshangabad-Piparia-Pachmarhi) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of  Hoshangabad-Piparia-Pachmarhi road.,126.0 KM (Kilometer),State,181,09-Nov-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Chetak Enterprises Limited,Not Available,29-Jul-2003,18-Oct-2003,27-Nov-2003,26-Mar-2004,03-Jul-2005,Not Available,03-Jul-2005,29-Jul-2018,Not Applicable,Not Available,,35.49,59.88,Not Available,57.00,Not Available
Road Upgradation (Jinzira Bazzar-Batanagar) Project,Transport,Roads and bridges,West Bengal,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involves construction of elevated road between Jinzira Bazzar and Batanagar on Budge Budge Trunk Road.,6.8 KM (Kilometer),State,384,09-Nov-2019,Kolkata Metropolitan Development Authority,BBT Elevated Road Private Limited,Revenue Share,28-May-2014,20-Feb-2015,20-Feb-2015,20-Feb-2017,Not Available,20-Feb-2017,Not Available,27-May-2046,Not Applicable,Not Available,,89.50,255.73,24.30,Not Available,Not Available
Road Upgradation (Kasaragod-Kannur) Project*,Transport,Roads and bridges,Kerala,Under Construction,Design-Build-Finance-Operate-Transfer (DBFOT) Annuity,The project involves upgradation of Kasaragod-Kannur road (Package-A) under State Road Improvement Project.,48.2 KM (Kilometer),State,180,09-Nov-2019,Road Infrastructure Company Kerala Limited,Rohan Rajdeep Tollways Private Limited,Not Available,12-Jul-2016,Not Available,Not Available,11-Jul-2017,Not Applicable,11-Jul-2017,Not Applicable,11-Jul-2031,Not Applicable,Not Available,Not Available,25.20,150.40,Not Available,Not Applicable,Updated status for the project is not available.
Road Upgradation (Kottayam-Thiruvananthapuram) Project*,Transport,Roads and bridges,Kerala,Under Construction,Design-Build-Finance-Operate-Transfer (DBFOT) Annuity,The project involves upgradation of Kottayam-Thiruvananthapuram section (Package-B) under State Road Improvement Project.,58.0 KM (Kilometer),State,180,09-Nov-2019,Road Infrastructure Company Kerala Limited,Inkel VKK Company Private Limited,Not Available,25-Jun-2015,Not Available,Not Available,24-Jun-2017,Not Applicable,24-Jun-2017,Not Applicable,24-Jun-2030,Not Applicable,Not Available,Not Available,21.60,128.91,Not Available,Not Applicable,Updated status for the project is not available.
Road Upgradation (MP/Maharashtra Border-Nagpur) Project,Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involves upgradation of two-lane carriageway of the
existing section of NH-7 from km 652.0 to km 704.2 to a four-lane carriageway, construction of new four-lane bypass of
42.8 km and maintenance of the existing four-lane carriageway of NH-7 from km 14.6 to km 36.6 under National
Highways Development Programme (NHDP) Phase II.",95.0 KM (Kilometer),Centre,324,09-Nov-2019,National Highways Authority of India (NHAI),Oriental Nagpur Bypass Construction Private Limited,Not Available,31-Aug-2009,03-Apr-2010,03-Apr-2010,01-Jun-2012,Not Available,Not Available,Not Available,02-Apr-2037,Not Applicable,Not Available,Not Available,455.21,"1,170.52","1,920.00",Not Available,Not Available
Road Upgradation (Patna-Hajipur-Muzaffarpur) Project,Transport,Roads and bridges,Bihar,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involves four laning of Patna-Hajipur-Muzaffarpur section of NH-77 from 0.00 km to 46.30 km including Muzaffarpur bypass 0.000 to 16.960 Km connecting NH-28.,63.0 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),Patna Highway Projects Limited,Annuity,20-Sep-2009,Not Available,12-Aug-2010,28-Feb-2013,Not Available,28-Feb-2013,Not Available,19-Nov-2024,Not Applicable,Not Available,,0.00,671.00,672.00,Not Available,Not Available
"Road Upgradation (Potin-Pangin) Project #
*",Transport,Roads and bridges,Arunachal Pradesh,Pre-construction Stage,Build-Operate-Transfer (BOT) Annuity,"The project envisages widening of existing road to two-lane NH standards along with improvement and realignment in lenght of 407 km from Potin to Pangin via Yachuli, Ziro, Daporizo, Aalong (Part of Trans Arunachal Highway) section of NH-229.",407.0 KM (Kilometer),Centre,150,09-Nov-2019,Ministry of Road Transport and Highways,SREI Infrastructure Finance-ECI Engineering & Construction  Company Limited (JV),Not Available,14-Aug-2012,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,13-Feb-2025,Not Applicable,Not Available,,0.00,"1,985.00",Not Available,Not Applicable,"The company was awaiting for necessary approvals from state government (Source :- Chief Engineer, Ministry of Road Transport & Highways). Updated status for the project is not available"
Road Upgradation (Rau-Pithampur) Project*,Transport,Roads and bridges,Madhya Pradesh,Pre-construction Stage,Hybrid Annuity Mode (HAM),Development of Rau-Pithampur Road from KM 0.000 to KM 13.826 on BOT (Toll + Annuity) basis in the state of Madhya Pradesh on Hybrid Annuity Mode (HAM). It is the project of widening existing 2 lane Rau- Pithampur Road to 4 lane.,13.83 KM (Kilometer),State,180,09-Nov-2019,Madhya Pradesh Audyogik Kendra Vikas Nigam (Indore) Limited,Prakash Asphalting & Toll Highways (I) Ltd.,Lowest Assessed Bid Price,30-Sep-2014,08-Jun-2015,08-Jun-2015,29-Nov-2016,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,78.52,Not Available,Not Applicable,Updated status for the project is not available.
Road Upgradation (Rewa-Shahdol-Amarkantak) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved upgradation of  Rewa-Shahdol-Amarkantak road.,242.7 KM (Kilometer),State,181,09-Nov-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Rewa Tollway Private Limited,Highest premium,15-Sep-2002,12-Mar-2003,12-Mar-2003,14-Jul-2004,11-Nov-2004,14-Sep-2004,11-Nov-2004,15-Sep-2017,Not Applicable,Not Available,,53.50,110.00,Not Available,111.30,Not Available
Road Upgradation (Shivpuri-Guna) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involves four-laning of Shivpuri-Guna section (NH-3) from 236.00 km to 332.10 km under NHDP Phase-IV.,97.7 KM (Kilometer),Centre,240,09-Nov-2019,National Highways Authority of India (NHAI),Ircon Shivpuri Guna Tollway Limited,Not Available,15-Mar-2015,30-Nov-2015,31-Jan-2016,31-Jul-2018,Not Available,31-Jul-2018,Not Available,30-Jan-2036,Not Applicable,Not Available,,0.00,830.36,Not Available,Not Available,Not Available
Road Upgradation (Talaja-Mahuva) Project,Transport,Roads and bridges,Gujarat,Operation and Maintenance Stage,Hybrid Annuity Mode (HAM),The project involves four-laning of Talaja-Mahuva section of NH-8E from 53.58 km to 100.10 km in Gujarat on Hybrid Annuity Mode (HAM),45.46 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),MEP Infrastructure Developers-Sanjose India Infrastructure & Construction (JV),Lowest Assessed Bid Price,27-May-2016,10-Mar-2017,25-Apr-2017,31-Oct-2019,Not Available,31-Oct-2019,Not Available,26-May-2031,Not Applicable,Not Available,,0.00,643.05,834.64,Not Available,"Source :- General Manager, NHAI"
Road Upgradation (Thrissur-Angamali NH-47) Project (KL-I),Transport,Roads and bridges,Kerala,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Improvement of Thrissur-Angamali section from Km. 270.000 to Km. 316.70 on NH-47 in Kerala under NDHP-II (North-South Corridor).,40.0 KM (Kilometer),Centre,240,09-Nov-2019,National Highways Authority of India (NHAI),Guruvayoor Infrastructure Private Limited,Not Available,27-Mar-2006,Not Available,22-Sep-2006,30-Mar-2009,05-Nov-2011,30-Mar-2009,05-Nov-2011,21-Sep-2026,Not Applicable,Not Available,,0.00,312.50,Not Available,604.40,Not Available
Road Upgradation (Udaipur-Rajasthan/Gujarat Border) Project,Transport,Roads and bridges,Rajasthan,Under Construction,Build-Operate-Transfer (BOT) Toll,The project involves six laning of Udaipur to Rajasthan / Gujarat Border section from 287.400 km to 401.200 km on NH-8 (Package-V) of Kishangarh-Udaipur-Ahmedabad stretch under NHDP-V.,113.8 KM (Kilometer),Centre,252,09-Nov-2019,National Highways Authority of India (NHAI),IRB Infrastructure Developers Ltd,Not Available,06-Dec-2016,05-Jul-2017,03-Sep-2017,31-Dec-2019,Not Applicable,31-Dec-2019,Not Applicable,25-Sep-2037,Not Applicable,Not Available,,0.00,"1,244.10","2,100.00",Not Applicable,Source: NHAI May 2017
Road upgradation of Raebareilly-Allahabad section of NH-24B in length of 106.6 Km under NHDP-IV,Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT) Toll,The project involves upgradation of Raebareilly-Allahabad section of NH-24B from 82.00 km to 188.60 km under NHDP-IV.,119.0 KM (Kilometer),Centre,192,09-Nov-2019,National Highways Authority of India (NHAI),Vijay Infrastructure Ltd-Vijay Construction(JV)-Indian,Not Available,31-Mar-2011,04-Oct-2011,18-Jul-2012,08-Jan-2014,Not Available,08-Jan-2014,Not Available,30-Mar-2027,Not Applicable,Not Available,Construction Grant,42.10,291.36,Not Available,Not Available,Not Available
Road Upgradation Project (Tikamgarh-Orchha) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involves development of Tikamgarh-Orchha road on SH-37 in length of 9.3 km in Bhopal,9.34 KM (Kilometer),State,180,09-Nov-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"Soubhagya Tikamgarh Orchha Projects Private Ltd., Hyderabad",Annuity,05-Nov-2011,14-May-2012,14-May-2012,10-Nov-2016,Not Available,10-Nov-2016,Not Available,04-Nov-2026,Not Applicable,Not Available,,0.00,47.56,Not Available,Not Available,Not Available
Ropar-Phagwara Road Project,Transport,Roads and bridges,Punjab,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involves construction of road between Ropar-Phagwara,80.66 KM (Kilometer),State,84,09-Nov-2019,"Public Works Department, Punjab",M/s Rohan Rajdeep Tollways Limited,Not Available,08-Sep-2005,Not Available,Not Available,01-Mar-2008,Not Available,01-Mar-2008,Not Available,Not Available,Not Applicable,Not Available,,0.00,70.00,Not Available,Not Available,Not Available
Saoner - Bypass Road*,Transport,Roads and bridges,Maharashtra,Under Construction,Build-Operate-Transfer (BOT),The project involves development of Saoner-Bypass road,Not Available,State,Not Available,09-Nov-2019,"Public Works Department, Maharashtra",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,125.00,Not Available,Not Applicable,Updated status for the project is not available.
School Building (Solapur) Project *,Social and Commercial Infrastructure,Education,Maharashtra,Under Construction,Build-Operate-Transfer (BOT),"The project involves construction of school buildings in Solapur. It will spread over 4,700 sq.mt of land.",1.1 Acres,State,288,09-Nov-2019,Solapur Municipal Corporation,Vishal Nirmiti Private Limited,Not Available,01-Feb-2011,Not Available,14-Feb-2011,01-Feb-2013,Not Applicable,Not Available,Not Applicable,13-Feb-2035,Not Applicable,Not Available,,0.00,1.08,6.27,Not Applicable,Updated status for the project is not available
Second Adityapur Toll Bridge over River Kharkali*,Transport,Roads and bridges,Jharkhand,Under Construction,Build-Operate-Transfer (BOT),270 m long four-lane bridge across river Kharkai along with 2 km of total approach road on both sides at Jamshedpur & Adityapur,0.27 KM (Kilometer),State,360,09-Nov-2019,"Department of Industries, Jharkhand",Adityapur Toll Bridge Company Ltd,Not Available,01-Nov-2006,Not Available,Not Available,01-Jun-2008,Not Applicable,01-Jun-2008,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,55.00,Not Available,Not Applicable,Updated status for the project is not available.
Secured Engineered Landfill Facility (Vadodara) *,Water Sanitation,Solid waste management,Gujarat,Under Construction,Build-Own-Operate-Transfer (BOOT),"Design, Development, Operation & Maintenance of Phase I of the Secured Engineered Landfill Facility at Jambua for disposal of Municipal Solid Waste Generated in Vadodara Municipal Limit",Not Available,State,Not Available,09-Nov-2019,Vadodara Municipal Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,30.98,Not Available,Not Applicable,Updated status for the project is not available
"Setting up of  60 MW Tidong-II Hydel Power Project #
*",Energy,Renewable energy (grid),Himachal Pradesh,Pre-construction Stage,Build-Own-Operate-Transfer (BOOT),The project envisages setting up of Tidong-II hydel power unit in Kinnaur district.,60.0 MW (Mega Watt),State,480,09-Nov-2019,"Directorate of Energy, Himachal Pradesh",Tidong Hydro Power Limited,Highest premium,20-Jan-2012,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,420.00,Not Available,Not Applicable,"The project has been delayed due to delay in forest and environmental clearance (Source:- Cheif Engineer, Directorate of Energy, Himachal Pradesh). Updated status for the project is not available"
"Setting up of 15 MW Pitgong-I hydel power unit in Arunachal Pradesh #
*",Energy,Renewable energy (grid),Arunachal Pradesh,Pre-construction Stage,Build-Own-Operate-Transfer (BOOT),The project envisages setting up of Pitgong-I hydel based power unit in Arunachal Pradesh.,15.0 MW (Mega Watt),State,480,09-Nov-2019,"Department of Hydro Power Development, Arunachal Pradesh",Sarda Eco Power Limited,Not Available,20-Sep-2013,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,19-Sep-2053,Not Applicable,Not Available,,0.00,112.00,Not Available,Not Applicable,"S.E., Dept. of Hydro Power Devp., Arunachal Pradesh has been contacted; status remained unchanged. The project has been delayed due to delay in forest and environmental clearance. Updated status for the project is not available"
Setting up of 51 MW Bhasmey hydel power unit in East Sikkim district *,Energy,Renewable energy (grid),Sikkim,Under Construction,Build-Own-Operate-Transfer (BOOT),The project involves setting up of Bhasmey hydel power unit in East Sikkim district. The project comprises a run-of-river plant utilizing the flows of the Rangpo river.,51.0 MW (Mega Watt),State,420,09-Nov-2019,Sikkim Power Development Corporation Limited,Gati Infrastructures Limited,Tariff or User charge,14-Nov-2003,Not Available,Not Available,31-Mar-2018,Not Applicable,31-Mar-2018,Not Applicable,13-Nov-2038,Not Applicable,Not Available,,0.00,145.00,297.76,Not Applicable,Updated status for the project is not available
Setting up of Iron ore handling facilities on BOT basis at New Mangalore Port *,Transport,Ports (excluding captive),Karnataka,Under Construction,Build-Operate-Transfer (BOT),This project involves setting up of Iron ore handling facilities on BOT basis at New Mangalore Port,Not Available,Centre,Not Available,09-Nov-2019,Ministry of Shipping,Not Available,Not Available,23-Sep-2009,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,119.66,Not Available,Not Applicable,This is a PPPAC Recommended Project. Updated status for the project is not available
Setting up of Medical College and Hospital in Bolangir *,Social and Commercial Infrastructure,Health Care,Odisha,Pre-construction Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involves setting up of Medical College and Hospital in Bolangir,25.0 Acres,State,360,09-Nov-2019,"Department of Health & Family Welfare, Odisha",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,326.40,Not Available,Not Applicable,This is a VGF In Principle Approved Project. Updated status for the project is not available
Shopping-cum-Commercial Complex (Parola Road) Project *,Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Maharashtra,Under Construction,Build-Own-Lease-Transfer (BOLT),"The project involves construction of Shopping cum commercial complex at C.S.No. 1618+1618 (A) Lane No.6, Parola Road Dhule on BOLT Basis",Not Available,State,360,09-Nov-2019,Dhule Municipal Corporation,Borse Brothers Engineers & Contractors Pvt. Ltd.,Not Available,03-Mar-2014,Not Available,Not Available,02-Sep-2015,Not Applicable,02-Dec-2015,Not Applicable,02-Mar-2044,Not Applicable,Not Available,,0.00,12.00,Not Available,Not Applicable,Data is logically checked and corrected. Updated status for the project is not available
Six laning from 90.0 km to 214.9 km of Kishangarh-Udaipur-Ahmedabad section under NHDP Phase-V,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT) Toll,The project involves six laning from 90.0 km (near Gulabpura) to 214.9 km (end of Chittorgarh bypass) of NH-79 in Rajasthan (Package-2) of Kishangarh-Udaipur-Ahmedabad stretch under NHDP-V.,124.9 KM (Kilometer),Centre,240,09-Nov-2019,National Highways Authority of India (NHAI),IRB Infrastructure Developers Limited,Not Available,30-Sep-2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29-Sep-2036,Not Applicable,Not Available,,0.00,"1,239.82",Not Available,Not Available,Source: NHAI May 2017
Six laning of  Kishangarh-Gulabpura section in length of 90.0 Km NHDP-V,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT) Toll,The project envisages six laning of Kishangarh-Gulabpura section of NH-79A and NH-79 from 0.0 km to 90.0 km of Kishangarh-Udaipur-Ahmedabad stretch under NHDP-V.,90.0 KM (Kilometer),Centre,240,09-Nov-2019,National Highways Authority of India (NHAI),Kishangarh Gulabpura Tollway Pvt. Ltd.,Not Available,09-Dec-2016,Not Available,31-Dec-2016,Not Available,Not Available,Not Available,Not Available,08-Dec-2036,Not Applicable,Not Available,,0.00,"1,031.95",Not Available,Not Available,Not Available
Six laning of Agra-Etawah Section of NH 2 from Km 199/660 to km 323.525 on BoT (Toll) in Uttar Pradesh under NHDP Phase V.,Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,The project involves six laning of Agra-Etawah Bypass stretch of NH-2 of 199.660 km to 323.525 km in Uttar Pradesh under NHDP Phase-V,124.5 KM (Kilometer),Centre,288,09-Nov-2019,National Highways Authority of India (NHAI),AE Tollway Private Limited,Not Available,30-Sep-2015,22-Jun-2016,01-Aug-2016,31-Jan-2019,Not Available,31-Jan-2019,Not Available,29-Sep-2039,Not Applicable,Not Available,,0.00,"1,650.20","1,657.20",Not Available,This is a PPPAC Recommended Project.
Six laning of Barwa-Adda-Panagarh section of NH 2 inJharkhand and West Bengal under NHDP PhaseV on BOT (Toll) basis,Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,The project involves six laning of Barwa Adda-Panagarh section from 398.0 km to 521.12 km including Panagarh bypass of NH-2 in the state of Jharkhand and West Bengal,122.8 KM (Kilometer),Centre,240,09-Nov-2019,National Highways Authority of India (NHAI),Barwa Adda Expressway Limited,Not Available,08-May-2013,01-Nov-2013,01-Apr-2014,26-Sep-2016,Not Available,26-Sep-2016,Not Available,07-May-2033,Not Applicable,Not Available,,0.00,"1,714.00","2,434.00",Not Available,This is a PPPAC Recommended Project.
Six laning of Chandikol-Jagatpur-Bhubhaneshwar section of NH 5 from Km 413 to 418 and Km 0 to Km 62 in Orissa on BOT basis,Transport,Roads and bridges,Odisha,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involves six laning of Chandikhol-Jagatpur-Bhubaneshwar stretch of NH-5 from 413.00 km to 418.200 km and from 0.00 km to 62.00 km in Odisha under NHDP -V.,67.0 KM (Kilometer),Centre,312,09-Nov-2019,National Highways Authority of India (NHAI),Shree Jagannath Expressway Private Limited,Minimum grant,06-Aug-2010,12-Aug-2011,14-Dec-2011,11-Jun-2014,01-Dec-2017,11-Jun-2014,Not Available,05-Aug-2036,Not Applicable,Not Available,Not Available,205.00,"1,047.00",Not Available,Not Available,This is a PPPAC Recommended Project.
Six laning of Chilkaluripet-Nellore section of NH 5 from km 1182.802 to km 1366.547 in AP on BOT (Toll) project on DBFO pattern,Transport,Roads and bridges,Andhra Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,The project involves upgradation of Nellore-Chilkaluripet section from km 1366.547 to km 1183.027 of NH-5 in Andhra Pradesh under NHDP Phase V,183.5 KM (Kilometer),Centre,360,09-Nov-2019,National Highways Authority of India (NHAI),Simhapuri Expressway Limited,Not Available,15-Jul-2010,21-Nov-2011,21-Nov-2011,01-May-2014,01-Sep-2017,01-May-2014,Not Available,14-Jul-2040,Not Applicable,Not Available,Not Available,127.00,"1,535.00","2,163.90",Not Available,This is a PPPAC Recommended Project.
Six laning of Chitradurga-Davanagere section in length of 72.7 km,Transport,Roads and bridges,Karnataka,Operation and Maintenance Stage,Hybrid Annuity Mode (HAM),The project envisages six laning of Chitradurga-Davanagere section from 0.0 km to 20.7 km and from 208.0 km to 260.0 km on NH-44 (Old NH-4) under NHDP-V on Hybrid Annuity Mode (HAM),72.7 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),PNC Infratech Limited,Lowest Assessed Bid Price,31-Mar-2017,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-Mar-2032,Not Applicable,Not Available,,0.00,993.16,Not Available,Not Available,Not Available
Six laning of Chittorgarh - Udaipur section of NH-76 PKG-III,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involves construction of six lane road from Chittorgarh to Udaipur, Package-III of NH-76 under NHDP-I",93.5 KM (Kilometer),Centre,Not Available,09-Nov-2019,National Highways Authority of India (NHAI),TRIL Roads Pvt Ltd-Indian,Not Available,01-Oct-2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,"1,100.19","1,245.75",Not Available,Source: NHAI website
Six laning of Delhi-Agra section of NH 2 from Km 20.500 to Km 199.600 in the States of Haryana/UP under NHDP V on BOT basis,Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involves six laning of Delhi-Agra section of NH-2 in Delhi and Uttar Pradesh from 20.500 km to 200.00 km under NHDP-V.,179.5 KM (Kilometer),Centre,312,09-Nov-2019,National Highways Authority of India (NHAI),DA Toll Road Private Limited,Not Available,01-May-2010,Not Available,16-Oct-2012,15-Apr-2015,01-Dec-2017,15-Apr-2015,Not Available,15-Jul-2036,Not Applicable,Not Available,Not Available,180.00,"1,917.63","2,960.00",Not Available,This is a PPPAC Recommended Project.
